"Title","SJR","H index","Total Docs. (2017)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","Impact Factor"
"Software and Systems Modeling",476,41,126,206,2427,383,151,2.82,19.26,1.722
"International Journal of Computerized Dentistry",702,24,31,76,717,91,64,1.6,23.13,1.725
"ACM Transactions on Internet Technology",427,47,47,78,2193,215,75,3.14,46.66,1.727
"Eurasip Journal on Image and Video Processing",409,28,86,150,2990,345,147,1.79,34.77,1.737
"International Journal of Mobile Communications",665,37,32,99,1614,196,99,2.15,50.44,1.742
"IEEE Transactions on Very Large Scale Integration (VLSI) Systems",447,92,385,943,10036,2230,938,2.2,26.07,1.744
"Journal of the ACM",1208,114,55,140,2193,485,126,3.61,39.87,1.744
"Journal of Network and Systems Management",264,28,45,105,1521,174,100,2.28,33.8,1.75
"Requirements Engineering",568,45,41,73,1332,209,65,3.07,32.49,1.75
"ACM Transactions on Computer Systems",1438,64,11,163,616,1370,161,4.26,56,1.76
"International Journal of Approximate Reasoning",866,81,193,318,7533,886,303,2.21,39.03,1.766
"Digital Investigation",635,39,58,187,1768,471,168,2.66,30.48,1.771
"Computer Speech and Language",539,58,94,199,4505,600,191,2.88,47.93,1.776
"Performance Evaluation",459,57,53,149,1698,251,144,1.8,32.04,1.786
"International Journal of Distributed Sensor Networks",255,31,316,1684,9410,2215,1572,1.46,29.78,1.787
"Neural Processing Letters",510,43,222,203,4525,404,196,1.95,20.38,1.787
"Modelling and Simulation in Materials Science and Engineering",821,64,138,393,6183,706,388,1.77,44.8,1.793
"Journal of Computing in Civil Engineering",697,59,96,335,4292,690,318,2.07,44.71,1.798
"Automated Software Engineering",317,39,36,64,1440,132,55,1.63,40,1.806
"Journal of Scientific Computing",1675,59,265,510,7494,985,502,1.7,28.28,1.814
"Journal of Parallel and Distributed Computing",502,70,207,312,6051,883,298,2.62,29.23,1.815
"Operational Research",566,13,123,101,1557,134,73,1.94,12.66,1.816
"Ecological Informatics",778,38,87,306,4050,731,294,2.11,46.55,1.82
"IET Biometrics",429,15,55,94,2153,238,90,2.33,39.15,1.836
"Journal of Visual Communication and Image Representation",503,62,191,639,7924,1691,629,2.33,41.49,1.836
"Statistics and Computing",2545,57,122,226,3666,540,222,1.72,30.05,1.851
"Machine Learning",695,129,75,201,2796,495,187,2.27,37.28,1.855
"BioData Mining",982,20,41,118,1622,208,109,1.8,39.56,1.857
"Information and Organization",1202,52,16,34,1383,106,34,3,86.44,1.857
"Journal of Computer Assisted Learning",1397,76,48,134,2324,363,133,2.47,48.42,1.859
"IEEE Transactions on Haptics",536,35,63,160,1878,371,153,2.22,29.81,1.869
"IEEE Transactions on Learning Technologies",783,36,63,107,1992,349,93,2.65,31.62,1.869
"Games for health journal",611,16,47,174,1736,342,161,2.23,36.94,1.876
"Evolutionary Bioinformatics",900,25,25,109,799,172,105,1.65,31.96,1.877
"Information Society",741,68,24,88,1477,160,83,1.61,61.54,1.889
