"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.410752:0.328945
"['SJR', 'H index', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.41093:0.329869
"['SJR', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.410978:0.329511
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.411624:0.330126
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.41167:0.330138
"['SJR', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.411828:0.329656
"['SJR', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.412041:0.331388
"['SJR', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.412175:0.329282
"['SJR', 'H index', 'Total Docs. (2017)', 'Cites / Doc. (2years)']":0.412243:0.327781
"['SJR', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.412415:0.32977
"['SJR', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.412772:0.330565
"['SJR', 'H index', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.412773:0.332365
"['SJR', 'H index', 'Total Docs. (3years)', 'Cites / Doc. (2years)']":0.413088:0.328238
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.41339:0.333339
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.413672:0.329228
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)']":0.413683:0.328719
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.413854:0.330715
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)']":0.413918:0.329008
"['SJR', 'H index', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.414034:0.328395
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.41424:0.332879
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.414283:0.334697
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.414368:0.329514
"['SJR', 'H index', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.414561:0.329891
"['SJR', 'H index', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.41462:0.328947
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.41475:0.32895
"['SJR', 'H index', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.414974:0.329335
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']":0.415166:0.329795
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']":0.415184:0.329473
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.415225:0.331088
"['SJR', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.415253:0.332387
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.415485:0.330574
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.41571:0.33384
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.415826:0.329759
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.416122:0.33179
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.416281:0.330064
"['SJR', 'H index', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.416564:0.329671
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.41668:0.330059
"['SJR', 'H index', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.416834:0.330969
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.417361:0.331057
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.417636:0.331319
"['SJR', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.417669:0.331254
"['SJR', 'H index', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.417907:0.331455
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.417955:0.334659
"['SJR', 'H index', 'Total Refs.', 'Cites / Doc. (2years)']":0.418142:0.330819
"['SJR', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.418277:0.334352
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.418298:0.332665
"['SJR', 'H index', 'Cites / Doc. (2years)']":0.418329:0.332912
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.418372:0.335451
"['SJR', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.41847:0.331659
"['SJR', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.41884:0.331769
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.419083:0.332276
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.419098:0.331631
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.419205:0.33399
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.419751:0.337486
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.419817:0.335248
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.420226:0.33013
"['SJR', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.420347:0.332933
"['SJR', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.420347:0.336465
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.420514:0.334873
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.420579:0.33694
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.420904:0.330373
"['SJR', 'H index', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.421236:0.330558
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.421502:0.333116
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.421555:0.335982
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.42187:0.338085
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.421872:0.337109
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.422002:0.338454
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.422027:0.330948
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.422426:0.331425
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.422471:0.333457
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.422865:0.331415
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.42307:0.336739
"['SJR', 'H index', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.423972:0.33192
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.42404:0.331735
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.42418:0.336684
"['Total Docs. (3years)', 'Cites / Doc. (2years)']":0.533956:0.350992
"['Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']":0.534074:0.351121
"['Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.534167:0.351046
"['Total Docs. (2017)', 'Cites / Doc. (2years)']":0.534307:0.350659
"['Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.534429:0.351245
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)']":0.53507:0.351784
"['Cites / Doc. (2years)']":0.535404:0.353341
"['Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.535551:0.351923
"['Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)']":0.535814:0.351821
"['Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.536639:0.353234
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']":0.536709:0.353527
"['Total Refs.', 'Cites / Doc. (2years)']":0.53694:0.353051
"['Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.537075:0.353401
"['Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.537204:0.353507
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.537752:0.354443
"['Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.538409:0.35249
"['Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.538501:0.351059
"['Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.538559:0.351142
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.53879:0.35543
"['Cites / Doc. (2years)', 'Ref. / Doc.']":0.538836:0.353944
"['Total Docs. (2017)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.539239:0.35107
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.539426:0.351849
"['Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.539446:0.352027
"['Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.539564:0.351977
"['Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.539612:0.351829
"['Total Cites (3years)', 'Cites / Doc. (2years)']":0.541161:0.351783
"['Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.541602:0.352577
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.541773:0.35292
"['Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.541925:0.352937
"['Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.543207:0.353075
"['Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.543366:0.352197
"['Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.543774:0.352136
"['Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.544101:0.354161
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.544162:0.354
"['Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.546251:0.353002
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.546672:0.355487
"['Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.547008:0.351842
"['Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.548704:0.352639
"['Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.548822:0.352233
"['Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.549344:0.352224
"['Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.54962:0.352966
"['Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.549942:0.352834
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.550127:0.353479
"['Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.551499:0.353793
"['Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.551711:0.352763
"['H index', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.551958:0.353041
"['H index', 'Total Docs. (3years)', 'Cites / Doc. (2years)']":0.552223:0.35271
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.552508:0.354312
"['H index', 'Total Docs. (2017)', 'Cites / Doc. (2years)']":0.552589:0.352344
"['H index', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.552618:0.35261
"['Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.55296:0.352972
"['H index', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.553004:0.353502
"['Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.553565:0.356121
"['H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.5536:0.353323
"['H index', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']":0.553766:0.352882
"['Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.553776:0.354453
"['H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)']":0.554037:0.353449
"['Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.554108:0.356215
"['H index', 'Total Refs.', 'Cites / Doc. (2years)']":0.554377:0.35458
"['H index', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.554495:0.352945
"['H index', 'Cites / Doc. (2years)']":0.554649:0.355295
"['H index', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.554816:0.353415
"['Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.555015:0.352714
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.555092:0.356848
"['H index', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)']":0.555254:0.354068
"['H index', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.555784:0.355001
"['H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']":0.556013:0.354218
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.556202:0.353448
"['Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.55622:0.353606
"['Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.556436:0.352887
"['Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.556523:0.357418
"['H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']":0.556805:0.355407
"['H index', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.557027:0.352877
"['H index', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.557299:0.352895
"['Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.557457:0.354001
"['H index', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.557551:0.353766
"['H index', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.557628:0.353023
"['H index', 'Total Docs. (2017)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.557669:0.352693
"['H index', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.557742:0.355396
"['H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.557754:0.356419
"['H index', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.557972:0.355335
"['H index', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.558057:0.353632
"['Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.558114:0.353645
